query_id	predicted_category
1	roofing
2	plumbing
3	electrical
4	roofing
5	plumbing
6	electrical
7	electrical
8	electrical
9	plumbing
10	roofing
11	electrical
12	electrical
13	roofing
14	plumbing
15	roofing
16	electrical
17	plumbing
18	electrical
19	roofing
20	plumbing
21	electrical
22	roofing
23	plumbing
24	electrical
25	roofing
26	electrical
27	electrical
28	roofing
29	roofing
30	electrical
31	roofing
32	plumbing
33	electrical
34	electrical
35	plumbing
36	electrical
37	electrical
38	electrical
39	electrical
40	electrical
41	plumbing
42	electrical
43	roofing
44	plumbing
45	electrical
46	roofing
47	plumbing
48	electrical
49	electrical
50	electrical
